title,mean,count,popularity_score
"Shawshank Redemption, The (1994)",4.429022082018927,317,1404.0
"Godfather, The (1972)",4.2890625,192,823.5
Fight Club (1999),4.272935779816514,218,931.5
"Godfather: Part II, The (1974)",4.25968992248062,129,549.5
"Departed, The (2006)",4.252336448598131,107,455.0
Goodfellas (1990),4.25,126,535.5
Casablanca (1942),4.24,100,424.0
"Dark Knight, The (2008)",4.238255033557047,149,631.4999999999999
"Usual Suspects, The (1995)",4.237745098039215,204,864.4999999999999
"Princess Bride, The (1987)",4.232394366197183,142,601.0
Star Wars: Episode IV - A New Hope (1977),4.231075697211155,251,1062.0
Schindler's List (1993),4.225,220,929.4999999999999
Apocalypse Now (1979),4.219626168224299,107,451.5
American History X (1998),4.217054263565892,129,544.0
Star Wars: Episode V - The Empire Strikes Back (1980),4.2156398104265405,211,889.5
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.2075,200,841.4999999999999
One Flew Over the Cuckoo's Nest (1975),4.203007518796992,133,559.0
Reservoir Dogs (1992),4.202290076335878,131,550.5
Pulp Fiction (1994),4.197068403908795,307,1288.5
"Matrix, The (1999)",4.192446043165468,278,1165.5
